pID,DAP,DaysOfYear,Height-Diff,GrowthRate-Diff,Precipitation,Humidity,SolarRadiation,Temperature,GDD,CGDD
42.0,42.0,186.0,-0.003430409,0.235161814,0.18,39.74,32.64,82.778,26.1,863.631
43.0,43.0,187.0,-0.000977546,0.255621591,2.4,35.85,33.38,85.784,27.864,891.495
44.0,44.0,188.0,0.001686318,0.277369519,4.32,45.05,33.08,77.864,27.054,918.549
45.0,45.0,189.0,0.004574276,0.300446186,0.43,40.5,33.43,80.528,25.857,944.406
46.0,46.0,190.0,0.007699757,0.324876655,0.0,30.3,32.26,85.208,25.569,969.975
47.0,47.0,191.0,0.011076325,0.350660847,2.66,32.26,35.49,86.738,28.332,998.307
48.0,48.0,192.0,0.014717361,0.377759132,1.62,44.8,36.58,84.47,29.799,1028.106
49.0,49.0,193.0,0.018635563,0.406070827,2.46,48.75,35.91,77.792,27.378,1055.484
50.0,50.0,194.0,0.022842192,0.435402225,0.13,50.61,33.5,76.244,26.208,1081.692
51.0,51.0,195.0,0.027345916,0.46541933,0.0,47.6,32.02,79.034,25.029,1106.721
52.0,52.0,196.0,0.032151085,0.495578392,0.09,52.47,32.69,78.998,26.532,1133.253
53.0,53.0,197.0,0.037255158,0.525024738,0.06,51.18,32.56,79.232,26.649,1159.902
54.0,54.0,198.0,0.042644907,0.552447209,0.46,51.81,34.27,82.742,27.81,1187.712
55.0,55.0,199.0,0.048290882,0.575872485,0.24,47.95,34.42,83.786,27.837,1215.549
56.0,56.0,200.0,0.05413945,0.592382183,1.3,41.37,36.18,88.052,28.548,1244.097
57.0,57.0,201.0,0.060101548,0.597739611,0.08,41.94,34.94,85.154,28.476,1272.573
58.0,58.0,202.0,0.066037272,0.585929733,1.4,35.31,35.56,88.466,30.123,1302.696
59.0,59.0,203.0,0.071735573,0.548657915,0.15,41.61,34.66,80.492,28.44,1331.136
60.0,60.0,204.0,0.076889251,0.474938009,0.0,30.42,32.16,82.778,25.776,1356.912
61.0,61.0,205.0,0.08106732,0.351042834,1.98,33.12,32.81,84.686,27.531,1384.443
62.0,62.0,206.0,0.083690539,0.161276449,0.89,36.16,35.39,88.43,29.988,1414.431
63.0,63.0,207.0,0.08402127,-0.109825776,1.12,57.25,36.8,77.99,27.81,1442.241
64.0,64.0,208.0,0.081184909,-0.473307874,14.79,52.61,34.81,74.498,24.705,1466.946
65.0,65.0,209.0,0.074244712,-0.929237175,3.8,60.73,35.51,76.064,25.785,1492.731
66.0,66.0,210.0,0.062358167,-1.45646517,6.43,64.68,34.44,75.704,26.001,1518.732
67.0,67.0,211.0,0.045081484,-1.990763745,8.3,71.33,35.14,73.706,23.616,1542.348
68.0,68.0,212.0,0.023051545,-2.365061539,0.85,58.69,32.34,75.074,24.165,1566.513
69.0,69.0,213.0,-0.00047433,-2.212123928,0.79,51.87,30.74,76.01,24.354,1590.867
70.0,70.0,214.0,-0.018299113,-1.235042275,7.74,60.54,32.44,73.31,22.932,1613.799
71.0,71.0,215.0,-0.024668313,-0.110171379,0.79,54.75,30.65,64.4,15.345,1629.144
72.0,72.0,216.0,-0.022706929,0.39685454,1.78,58.07,31.78,67.208,16.155,1645.299
73.0,73.0,217.0,-0.018199214,0.46203708,2.74,62.17,31.98,70.466,20.466,1665.765
74.0,74.0,218.0,-0.013915025,0.385755352,5.07,68.35,31.79,67.514,18.657,1684.422
75.0,75.0,219.0,-0.01053558,0.291308952,7.17,70.53,31.71,65.318,16.065,1700.487
76.0,76.0,220.0,-0.008036765,0.211686154,3.04,64.85,33.14,66.794,16.515,1717.002
77.0,77.0,221.0,-0.006237184,0.151274278,0.14,58.33,31.5,71.024,20.691,1737.693
78.0,78.0,222.0,-0.004956643,0.107233654,8.02,75.29,32.07,63.644,12.573,1750.266
79.0,79.0,223.0,-0.004050928,0.075689267,0.4,53.94,29.79,66.416,15.786,1766.052
80.0,80.0,224.0,-0.003412457,0.053291806,10.09,78.21,33.08,67.892,18.639,1784.691
81.0,1.0,145.0,-0.05110232,-0.254821153,3.1,64.91,29.65,60.458,13.122,13.122
82.0,2.0,146.0,-0.053484052,-0.221495464,3.22,59.76,28.76,60.08,12.141,25.263
83.0,3.0,147.0,-0.055532209,-0.188154492,3.75,64.47,28.98,57.344,8.208,33.471
84.0,4.0,148.0,-0.057247764,-0.154997515,0.39,46.44,27.61,61.772,12.537,46.008
85.0,5.0,149.0,-0.058633133,-0.122131606,0.03,42.16,26.71,64.004,13.995,60.003
86.0,6.0,150.0,-0.059691611,-0.089629852,0.0,37.94,26.43,64.4,14.85,74.853
87.0,7.0,151.0,-0.060427135,-0.057549214,0.78,53.75,28.91,66.884,16.146,90.999
88.0,8.0,152.0,-0.060844161,-0.025937963,0.63,57.73,29.94,70.412,20.331,111.33
89.0,9.0,153.0,-0.060947603,0.005160633,5.11,56.41,31.05,72.05,21.393,132.723
90.0,10.0,154.0,-0.060742791,0.035706262,4.61,75.24,32.13,65.894,16.335,149.058
91.0,11.0,155.0,-0.06023545,0.065660326,0.0,54.42,29.86,71.222,19.944,169.002
92.0,12.0,156.0,-0.059431683,0.094985132,0.31,47.26,30.72,73.868,22.365,191.367
93.0,13.0,157.0,-0.058337969,0.123643342,0.32,55.24,32.22,70.556,20.97,212.337
94.0,14.0,158.0,-0.056961162,0.151597573,4.7,67.12,32.46,69.674,18.783,231.12
95.0,15.0,159.0,-0.05530849,0.178810097,0.26,61.87,31.5,72.356,21.96,253.08
96.0,16.0,160.0,-0.05338756,0.205242604,0.0,51.96,31.56,76.91,22.923,276.003
97.0,17.0,161.0,-0.051206368,0.230856011,0.0,42.14,31.14,77.81,24.849,300.852
98.0,18.0,162.0,-0.048773304,0.255610301,0.36,51.84,33.5,77.612,25.272,326.124
99.0,19.0,163.0,-0.046097163,0.279464379,0.01,52.87,32.57,79.394,25.965,352.089
100.0,20.0,164.0,-0.043187158,0.30237595,0.0,28.85,28.52,75.2,23.877,375.966
101.0,21.0,165.0,-0.040052931,0.324301403,0.0,28.63,27.88,74.318,21.951,397.917
102.0,22.0,166.0,-0.036704567,0.345195699,0.0,24.64,29.99,77.378,22.653,420.57
103.0,23.0,167.0,-0.033152609,0.365012272,0.0,28.68,32.3,80.96,24.228,444.798
104.0,24.0,168.0,-0.029408074,0.383702927,0.13,45.91,33.36,71.402,22.41,467.208
105.0,25.0,169.0,-0.02548247,0.401217742,0.0,32.74,31.28,71.636,20.169,487.377
106.0,26.0,170.0,-0.021387811,0.417504969,0.01,35.48,31.66,73.976,23.364,510.741
107.0,27.0,171.0,-0.017136641,0.432510938,0.01,35.95,32.59,81.716,23.526,534.267
108.0,28.0,172.0,-0.012742048,0.446179959,0.02,32.47,33.54,87.44,28.305,562.572
109.0,29.0,173.0,-0.008217691,0.458454218,2.75,38.1,32.19,79.466,25.389,587.961
110.0,30.0,174.0,-0.003577813,0.469273681,0.47,40.06,29.14,65.768,16.713,604.674
111.0,31.0,175.0,0.001162726,0.478575982,0.45,35.56,30.99,67.856,16.182,620.856
112.0,32.0,176.0,0.005988434,0.486296326,1.78,55.96,29.87,63.338,13.464,634.32
113.0,33.0,177.0,0.010883155,0.492367368,0.14,46.42,30.05,70.754,21.069,655.389
114.0,34.0,178.0,0.01583005,0.496719108,1.88,45.61,32.45,76.46,21.456,676.845
115.0,35.0,179.0,0.020811564,0.499278771,1.34,41.6,31.52,76.856,24.03,700.875
116.0,36.0,180.0,0.0258094,0.499970685,1.6,39.08,31.14,74.858,23.571,724.446
117.0,37.0,181.0,0.03080449,0.498716156,1.44,44.7,30.79,68.198,16.938,741.384
118.0,38.0,182.0,0.035776963,0.495433341,0.0,38.01,30.8,76.1,22.014,763.398
119.0,39.0,183.0,0.040706113,0.490037109,3.14,42.44,34.05,81.356,25.083,788.481
120.0,40.0,184.0,0.045570365,0.482438904,2.56,49.16,33.27,76.676,25.245,813.726
121.0,41.0,185.0,0.050347244,0.472546602,3.06,48.73,31.81,78.206,23.805,837.531
122.0,42.0,186.0,0.055013331,0.460264355,0.18,39.74,32.64,82.778,26.1,863.631
123.0,43.0,187.0,0.059544233,0.445492442,2.4,35.85,33.38,85.784,27.864,891.495
124.0,44.0,188.0,0.063914536,0.428127099,4.32,45.05,33.08,77.864,27.054,918.549
125.0,45.0,189.0,0.06809777,0.408060357,0.43,40.5,33.43,80.528,25.857,944.406
126.0,46.0,190.0,0.072066364,0.385179862,0.0,30.3,32.26,85.208,25.569,969.975
127.0,47.0,191.0,0.075791599,0.359368695,2.66,32.26,35.49,86.738,28.332,998.307
128.0,48.0,192.0,0.079243564,0.330505181,1.62,44.8,36.58,84.47,29.799,1028.106
129.0,49.0,193.0,0.082391107,0.298462694,2.46,48.75,35.91,77.792,27.378,1055.484
130.0,50.0,194.0,0.085201783,0.263109448,0.13,50.61,33.5,76.244,26.208,1081.692
131.0,51.0,195.0,0.087641803,0.224308288,0.0,47.6,32.02,79.034,25.029,1106.721
132.0,52.0,196.0,0.08967598,0.181916465,0.09,52.47,32.69,78.998,26.532,1133.253
133.0,53.0,197.0,0.091267669,0.135785403,0.06,51.18,32.56,79.232,26.649,1159.902
134.0,54.0,198.0,0.09237871,0.085760446,0.46,51.81,34.27,82.742,27.81,1187.712
135.0,55.0,199.0,0.092969363,0.031680564,0.24,47.95,34.42,83.786,27.837,1215.549
136.0,56.0,200.0,0.092998246,-0.026622071,1.3,41.37,36.18,88.052,28.548,1244.097
137.0,57.0,201.0,0.092422262,-0.089322866,0.08,41.94,34.94,85.154,28.476,1272.573
138.0,58.0,202.0,0.091196514,-0.156606593,1.4,35.31,35.56,88.466,30.123,1302.696
139.0,59.0,203.0,0.089274194,-0.228671883,0.15,41.61,34.66,80.492,28.44,1331.136
140.0,60.0,204.0,0.086606397,-0.305742471,0.0,30.42,32.16,82.778,25.776,1356.912
141.0,61.0,205.0,0.083141753,-0.388093789,1.98,33.12,32.81,84.686,27.531,1384.443
142.0,62.0,206.0,0.078825664,-0.476108984,0.89,36.16,35.39,88.43,29.988,1414.431
143.0,63.0,207.0,0.073598785,-0.570370053,1.12,57.25,36.8,77.99,27.81,1442.241
144.0,64.0,208.0,0.067394723,-0.6716891,14.79,52.61,34.81,74.498,24.705,1466.946
145.0,65.0,209.0,0.060139798,-0.780462925,3.8,60.73,35.51,76.064,25.785,1492.731
146.0,66.0,210.0,0.051772138,-0.89267239,6.43,64.68,34.44,75.704,26.001,1518.732
147.0,67.0,211.0,0.042348755,-0.984303587,8.3,71.33,35.14,73.706,23.616,1542.348
148.0,68.0,212.0,0.032407224,-0.97726323,0.85,58.69,32.34,75.074,24.165,1566.513
149.0,69.0,213.0,0.023528471,-0.759235516,0.79,51.87,30.74,76.01,24.354,1590.867
150.0,70.0,214.0,0.017737547,-0.395651314,7.74,60.54,32.44,73.31,22.932,1613.799
151.0,71.0,215.0,0.015263448,-0.128302349,0.79,54.75,30.65,64.4,15.345,1629.144
152.0,72.0,216.0,0.014628253,-0.019395376,1.78,58.07,31.78,67.208,16.155,1645.299
153.0,73.0,217.0,0.014608233,0.007877545,2.74,62.17,31.98,70.466,20.466,1665.765
154.0,74.0,218.0,0.014704966,0.009669303,5.07,68.35,31.79,67.514,18.657,1684.422
155.0,75.0,219.0,0.014786691,0.006528767,7.17,70.53,31.71,65.318,16.065,1700.487
156.0,76.0,220.0,0.014837049,0.003715904,3.04,64.85,33.14,66.794,16.515,1717.002
157.0,77.0,221.0,0.014864598,0.001955558,0.14,58.33,31.5,71.024,20.691,1737.693
158.0,78.0,222.0,0.014878795,0.00098611,8.02,75.29,32.07,63.644,12.573,1750.266
159.0,79.0,223.0,0.014885867,0.000484873,0.4,53.94,29.79,66.416,15.786,1766.052
160.0,80.0,224.0,0.014889319,0.000234802,10.09,78.21,33.08,67.892,18.639,1784.691
161.0,1.0,145.0,-0.002004448,0.003577462,3.1,64.91,29.65,60.458,13.122,13.122
162.0,2.0,146.0,-0.001966661,0.003732518,3.22,59.76,28.76,60.08,12.141,25.263
163.0,3.0,147.0,-0.0019334,0.002782503,3.75,64.47,28.98,57.344,8.208,33.471
164.0,4.0,148.0,-0.001913257,0.001152534,0.39,46.44,27.61,61.772,12.537,46.008
165.0,5.0,149.0,-0.001911966,-0.000964831,0.03,42.16,26.71,64.004,13.995,60.003
166.0,6.0,150.0,-0.001933808,-0.003459826,0.0,37.94,26.43,64.4,14.85,74.853
167.0,7.0,151.0,-0.001982183,-0.006261744,0.78,53.75,28.91,66.884,16.146,90.999
168.0,8.0,152.0,-0.0020599,-0.009321368,0.63,57.73,29.94,70.412,20.331,111.33
169.0,9.0,153.0,-0.002169348,-0.012602546,5.11,56.41,31.05,72.05,21.393,132.723
170.0,10.0,154.0,-0.002312597,-0.016077651,4.61,75.24,32.13,65.894,16.335,149.058
171.0,11.0,155.0,-0.002491474,-0.019724914,0.0,54.42,29.86,71.222,19.944,169.002
172.0,12.0,156.0,-0.00270761,-0.023526761,0.31,47.26,30.72,73.868,22.365,191.367
173.0,13.0,157.0,-0.002962476,-0.027468724,0.32,55.24,32.22,70.556,20.97,212.337
174.0,14.0,158.0,-0.003257411,-0.031538692,4.7,67.12,32.46,69.674,18.783,231.12
175.0,15.0,159.0,-0.003593642,-0.035726389,0.26,61.87,31.5,72.356,21.96,253.08
176.0,16.0,160.0,-0.003972302,-0.040022989,0.0,51.96,31.56,76.91,22.923,276.003
177.0,17.0,161.0,-0.00439444,-0.044420839,0.0,42.14,31.14,77.81,24.849,300.852
178.0,18.0,162.0,-0.004861034,-0.048913238,0.36,51.84,33.5,77.612,25.272,326.124
179.0,19.0,163.0,-0.005373,-0.053494273,0.01,52.87,32.57,79.394,25.965,352.089
180.0,20.0,164.0,-0.005931197,-0.058158695,0.0,28.85,28.52,75.2,23.877,375.966
181.0,21.0,165.0,-0.006536436,-0.062901808,0.0,28.63,27.88,74.318,21.951,397.917
182.0,22.0,166.0,-0.007189481,-0.067719393,0.0,24.64,29.99,77.378,22.653,420.57
183.0,23.0,167.0,-0.007891059,-0.072607634,0.0,28.68,32.3,80.96,24.228,444.798
184.0,24.0,168.0,-0.008641858,-0.077563071,0.13,45.91,33.36,71.402,22.41,467.208
185.0,25.0,169.0,-0.009442534,-0.082582549,0.0,32.74,31.28,71.636,20.169,487.377
186.0,26.0,170.0,-0.010293713,-0.087663178,0.01,35.48,31.66,73.976,23.364,510.741
187.0,27.0,171.0,-0.011195993,-0.092802308,0.01,35.95,32.59,81.716,23.526,534.267
188.0,28.0,172.0,-0.012149946,-0.097997494,0.02,32.47,33.54,87.44,28.305,562.572
189.0,29.0,173.0,-0.013156122,-0.103246478,2.75,38.1,32.19,79.466,25.389,587.961
190.0,30.0,174.0,-0.014215048,-0.108547167,0.47,40.06,29.14,65.768,16.713,604.674
191.0,31.0,175.0,-0.015327231,-0.113897616,0.45,35.56,30.99,67.856,16.182,620.856
192.0,32.0,176.0,-0.01649316,-0.119296013,1.78,55.96,29.87,63.338,13.464,634.32
193.0,33.0,177.0,-0.017713305,-0.124740667,0.14,46.42,30.05,70.754,21.069,655.389
194.0,34.0,178.0,-0.018988122,-0.130229996,1.88,45.61,32.45,76.46,21.456,676.845
195.0,35.0,179.0,-0.020318049,-0.135762515,1.34,41.6,31.52,76.856,24.03,700.875
196.0,36.0,180.0,-0.021703512,-0.141336831,1.6,39.08,31.14,74.858,23.571,724.446
197.0,37.0,181.0,-0.023144921,-0.146951635,1.44,44.7,30.79,68.198,16.938,741.384
198.0,38.0,182.0,-0.024642675,-0.152605691,0.0,38.01,30.8,76.1,22.014,763.398
199.0,39.0,183.0,-0.026197162,-0.158297839,3.14,42.44,34.05,81.356,25.083,788.481
200.0,40.0,184.0,-0.027808755,-0.164026984,2.56,49.16,33.27,76.676,25.245,813.726
201.0,41.0,185.0,-0.029477821,-0.1697921,3.06,48.73,31.81,78.206,23.805,837.531
202.0,42.0,186.0,-0.031204714,-0.175592237,0.18,39.74,32.64,82.778,26.1,863.631
203.0,43.0,187.0,-0.03298978,-0.181426528,2.4,35.85,33.38,85.784,27.864,891.495
204.0,44.0,188.0,-0.034833356,-0.18729422,4.32,45.05,33.08,77.864,27.054,918.549
205.0,45.0,189.0,-0.036735774,-0.193194724,0.43,40.5,33.43,80.528,25.857,944.406
206.0,46.0,190.0,-0.038697359,-0.199127704,0.0,30.3,32.26,85.208,25.569,969.975
207.0,47.0,191.0,-0.040718436,-0.205093235,2.66,32.26,35.49,86.738,28.332,998.307
208.0,48.0,192.0,-0.042799334,-0.211092064,1.62,44.8,36.58,84.47,29.799,1028.106
209.0,49.0,193.0,-0.044940394,-0.217126042,2.46,48.75,35.91,77.792,27.378,1055.484
210.0,50.0,194.0,-0.047141984,-0.223198807,0.13,50.61,33.5,76.244,26.208,1081.692
211.0,51.0,195.0,-0.049404521,-0.22931685,0.0,47.6,32.02,79.034,25.029,1106.721
212.0,52.0,196.0,-0.051728508,-0.235491121,0.09,52.47,32.69,78.998,26.532,1133.253
213.0,53.0,197.0,-0.054114589,-0.241739361,0.06,51.18,32.56,79.232,26.649,1159.902
214.0,54.0,198.0,-0.056563633,-0.248089342,0.46,51.81,34.27,82.742,27.81,1187.712
215.0,55.0,199.0,-0.059076853,-0.254583044,0.24,47.95,34.42,83.786,27.837,1215.549
216.0,56.0,200.0,-0.061655973,-0.261281459,1.3,41.37,36.18,88.052,28.548,1244.097
217.0,57.0,201.0,-0.064303442,-0.268268769,0.08,41.94,34.94,85.154,28.476,1272.573
218.0,58.0,202.0,-0.067022669,-0.275652691,1.4,35.31,35.56,88.466,30.123,1302.696
219.0,59.0,203.0,-0.069818222,-0.283553808,0.15,41.61,34.66,80.492,28.44,1331.136
220.0,60.0,204.0,-0.072695804,-0.292069341,0.0,30.42,32.16,82.778,25.776,1356.912
221.0,61.0,205.0,-0.075661638,-0.30118455,1.98,33.12,32.81,84.686,27.531,1384.443
222.0,62.0,206.0,-0.078720527,-0.310589122,0.89,36.16,35.39,88.43,29.988,1414.431
223.0,63.0,207.0,-0.081871393,-0.319348886,1.12,57.25,36.8,77.99,27.81,1442.241
224.0,64.0,208.0,-0.085098749,-0.325428193,14.79,52.61,34.81,74.498,24.705,1466.946
225.0,65.0,209.0,-0.088359258,-0.325245437,3.8,60.73,35.51,76.064,25.785,1492.731
226.0,66.0,210.0,-0.091566243,-0.313839946,6.43,64.68,34.44,75.704,26.001,1518.732
227.0,67.0,211.0,-0.094582689,-0.286545485,8.3,71.33,35.14,73.706,23.616,1542.348
228.0,68.0,212.0,-0.097239905,-0.24230613,0.85,58.69,32.34,75.074,24.165,1566.513
229.0,69.0,213.0,-0.099389244,-0.186379615,0.79,51.87,30.74,76.01,24.354,1590.867
230.0,70.0,214.0,-0.100962491,-0.128931932,7.74,60.54,32.44,73.31,22.932,1613.799
231.0,71.0,215.0,-0.101995886,-0.07970269,0.79,54.75,30.65,64.4,15.345,1629.144
232.0,72.0,216.0,-0.102600808,-0.043570729,1.78,58.07,31.78,67.208,16.155,1645.299
233.0,73.0,217.0,-0.102910441,-0.020292417,2.74,62.17,31.98,70.466,20.466,1665.765
234.0,74.0,218.0,-0.103039672,-0.006910294,5.07,68.35,31.79,67.514,18.657,1684.422
235.0,75.0,219.0,-0.103070306,-5.27e-05,7.17,70.53,31.71,65.318,16.065,1700.487
236.0,76.0,220.0,-0.103053446,0.002957715,3.04,64.85,33.14,66.794,16.515,1717.002
237.0,77.0,221.0,-0.103017957,0.00390252,0.14,58.33,31.5,71.024,20.691,1737.693
238.0,78.0,222.0,-0.102978685,0.003844633,8.02,75.29,32.07,63.644,12.573,1750.266
239.0,79.0,223.0,-0.102942424,0.003369346,0.4,53.94,29.79,66.416,15.786,1766.052
240.0,80.0,224.0,-0.102911675,0.002775909,10.09,78.21,33.08,67.892,18.639,1784.691
241.0,1.0,145.0,0.019979341,0.005360489,3.1,64.91,29.65,60.458,13.122,13.122
242.0,2.0,146.0,0.019996732,-0.001918823,3.22,59.76,28.76,60.08,12.141,25.263
243.0,3.0,147.0,0.019940374,-0.009374868,3.75,64.47,28.98,57.344,8.208,33.471
244.0,4.0,148.0,0.019808948,-0.016916552,0.39,46.44,27.61,61.772,12.537,46.008
245.0,5.0,149.0,0.019602097,-0.024441771,0.03,42.16,26.71,64.004,13.995,60.003
246.0,6.0,150.0,0.019320543,-0.031837528,0.0,37.94,26.43,64.4,14.85,74.853
247.0,7.0,151.0,0.018966189,-0.03898015,0.78,53.75,28.91,66.884,16.146,90.999
248.0,8.0,152.0,0.018542229,-0.045735613,0.63,57.73,29.94,70.412,20.331,111.33
249.0,9.0,153.0,0.018053246,-0.051959985,5.11,56.41,31.05,72.05,21.393,132.723
250.0,10.0,154.0,0.01750531,-0.057499978,4.61,75.24,32.13,65.894,16.335,149.058
251.0,11.0,155.0,0.016906067,-0.06219362,0.0,54.42,29.86,71.222,19.944,169.002
252.0,12.0,156.0,0.016264824,-0.065871052,0.31,47.26,30.72,73.868,22.365,191.367
253.0,13.0,157.0,0.015592622,-0.068355454,0.32,55.24,32.22,70.556,20.97,212.337
254.0,14.0,158.0,0.0149023,-0.069464103,4.7,67.12,32.46,69.674,18.783,231.12
255.0,15.0,159.0,0.01420855,-0.069009586,0.26,61.87,31.5,72.356,21.96,253.08
256.0,16.0,160.0,0.013527954,-0.066801159,0.0,51.96,31.56,76.91,22.923,276.003
257.0,17.0,161.0,0.012879015,-0.06264629,0.0,42.14,31.14,77.81,24.849,300.852
258.0,18.0,162.0,0.012282159,-0.056352371,0.36,51.84,33.5,77.612,25.272,326.124
259.0,19.0,163.0,0.011759734,-0.047728655,0.01,52.87,32.57,79.394,25.965,352.089
260.0,20.0,164.0,0.011335975,-0.036588396,0.0,28.85,28.52,75.2,23.877,375.966
261.0,21.0,165.0,0.011036956,-0.022751253,0.0,28.63,27.88,74.318,21.951,397.917
262.0,22.0,166.0,0.010890512,-0.006045947,0.0,24.64,29.99,77.378,22.653,420.57
263.0,23.0,167.0,0.010926131,0.013686778,0.0,28.68,32.3,80.96,24.228,444.798
264.0,24.0,168.0,0.011174821,0.036590894,0.13,45.91,33.36,71.402,22.41,467.208
265.0,25.0,169.0,0.011668939,0.062791483,0.0,32.74,31.28,71.636,20.169,487.377
266.0,26.0,170.0,0.012441983,0.092390799,0.01,35.48,31.66,73.976,23.364,510.741
267.0,27.0,171.0,0.013528338,0.125463967,0.01,35.95,32.59,81.716,23.526,534.267
268.0,28.0,172.0,0.01496299,0.162054346,0.02,32.47,33.54,87.44,28.305,562.572
269.0,29.0,173.0,0.016781176,0.202168557,2.75,38.1,32.19,79.466,25.389,587.961
270.0,30.0,174.0,0.019017995,0.245771235,0.47,40.06,29.14,65.768,16.713,604.674
271.0,31.0,175.0,0.021707959,0.292779553,0.45,35.56,30.99,67.856,16.182,620.856
272.0,32.0,176.0,0.024884491,0.343057633,1.78,55.96,29.87,63.338,13.464,634.32
273.0,33.0,177.0,0.028579369,0.396410952,0.14,46.42,30.05,70.754,21.069,655.389
274.0,34.0,178.0,0.032822107,0.452580954,1.88,45.61,32.45,76.46,21.456,676.845
275.0,35.0,179.0,0.037639293,0.51124005,1.34,41.6,31.52,76.856,24.03,700.875
276.0,36.0,180.0,0.043053877,0.571987309,1.6,39.08,31.14,74.858,23.571,724.446
277.0,37.0,181.0,0.049084417,0.634345135,1.44,44.7,30.79,68.198,16.938,741.384
278.0,38.0,182.0,0.055744303,0.697757319,0.0,38.01,30.8,76.1,22.014,763.398
279.0,39.0,183.0,0.06304097,0.761588832,3.14,42.44,34.05,81.356,25.083,788.481
280.0,40.0,184.0,0.070975113,0.825127814,2.56,49.16,33.27,76.676,25.245,813.726
