x,y,z
-0.0943503,0.412829,-0.161768
-0.0942286,0.422027,-0.194079
-0.0857038,0.417509,-0.19343
-0.107805,0.482032,-0.18569
-0.106282,0.480871,-0.178662
-0.105849,0.499814,-0.174432
-0.107007,0.501145,-0.181188
-0.0871233,0.560985,-0.164862
-0.0886447,0.550791,-0.147134
-0.0745805,0.56925,-0.144969
-0.0735093,0.578051,-0.164026
-0.0587963,0.591776,-0.16608
-0.0593289,0.584659,-0.146855
-0.0428908,0.597023,-0.152129
-0.0425393,0.603368,-0.17084
-0.0258293,0.611031,-0.175357
-0.0260194,0.604936,-0.156125
-0.00871385,0.608386,-0.158137
-0.00866726,0.61476,-0.179137
-0.00885126,0.620132,-0.198803
-0.00929026,0.624419,-0.217063
-0.0276993,0.621392,-0.211351
-0.0263813,0.616533,-0.193816
-0.0433063,0.608968,-0.188325
-0.0452133,0.613752,-0.20434
-0.0618323,0.601519,-0.196462
-0.0596243,0.597437,-0.182794
-0.0107186,0.376521,-0.331189
-0.00370526,0.389554,-0.33444
-0.00348526,0.383584,-0.322029
-0.00993191,0.373249,-0.318964
-0.0299009,0.494782,-0.39987
-0.0390287,0.494467,-0.400466
-0.0318033,0.52189,-0.400672
-0.0242755,0.521795,-0.401339
-0.0106513,0.602265,-0.371244
-0.0157203,0.596574,-0.373219
-0.0202143,0.596353,-0.368177
-0.0161853,0.602398,-0.364832
-0.00247326,0.607854,-0.363821
-0.00179726,0.606236,-0.369879
-0.00522026,0.605803,-0.370055
-0.00724926,0.607169,-0.363845
-0.0163193,0.614366,-0.330841
-0.0202073,0.618235,-0.311633
-0.00679226,0.620199,-0.311492
-0.00549726,0.616689,-0.328987
-0.0354683,0.60783,-0.331022
-0.0503033,0.608289,-0.307721
-0.0347113,0.614265,-0.310375
-0.0263093,0.611412,-0.331519
-0.102225,0.523579,-0.127402
-0.108193,0.507297,-0.128319
-0.0134182,0.371701,-0.160328
-0.0275018,0.374154,-0.160907
-0.0272633,0.387537,-0.190701
-0.0170833,0.385338,-0.190323
-0.0198786,0.394309,-0.210669
-0.028504,0.395928,-0.210757
-0.0215355,0.390445,-0.231786
-0.0179719,0.373708,-0.33918
-0.0298598,0.384725,-0.357909
-0.0200875,0.386861,-0.353983
-0.0198713,0.423641,-0.373604
-0.0314103,0.423774,-0.379703
-0.0263081,0.465084,-0.391709
-0.0171243,0.4647,-0.388858
-0.0144452,0.495222,-0.398138
-0.0216958,0.495003,-0.399028
-0.017574,0.521595,-0.401167
-0.0116986,0.521341,-0.400211
-0.00839857,0.544767,-0.398758
-0.0135481,0.545733,-0.398884
-0.00966954,0.567489,-0.393101
-0.00456673,0.565542,-0.394501
-0.035032,0.549381,-0.39068
-0.0441674,0.5514,-0.386353
-0.0402183,0.57741,-0.369866
-0.0322943,0.574831,-0.376076
-0.0293063,0.588371,-0.369085
-0.0366113,0.591226,-0.361925
-0.0280063,0.591806,-0.366491
-0.0266443,0.596079,-0.362806
-0.0350083,0.595753,-0.357104
-0.0298023,0.60271,-0.350711
-0.0219183,0.602531,-0.358685
-0.0179243,0.606413,-0.356466
-0.0246753,0.607203,-0.347269
-0.0196263,0.609232,-0.346776
-0.0146593,0.607725,-0.356147
-0.00979226,0.608998,-0.355668
-0.0128473,0.611288,-0.34552
-0.00433926,0.613367,-0.343499
-0.00332026,0.610232,-0.355027
-0.0621467,0.399978,-0.212882
-0.0443548,0.397621,-0.211673
-0.0813473,0.414129,-0.193996
-0.074858,0.407268,-0.194145
-0.0759433,0.399059,-0.16155
-0.0972068,0.43935,-0.189632
-0.101061,0.432526,-0.159889
-0.106456,0.456102,-0.158434
-0.102339,0.460157,-0.179292
-0.105203,0.480088,-0.173114
-0.10837,0.477395,-0.158187
-0.106905,0.496369,-0.156904
-0.104724,0.498784,-0.169063
-0.101543,0.518396,-0.167177
-0.103623,0.514682,-0.15357
-0.0983308,0.532583,-0.150473
-0.0958775,0.541672,-0.16675
-0.0999128,0.442006,-0.202082
-0.0987255,0.440501,-0.195473
-0.10349,0.46092,-0.185164
-0.104698,0.462045,-0.19244
-0.0960225,0.545197,-0.171964
-0.102851,0.520111,-0.172313
-0.0961946,0.548362,-0.176756
-0.103936,0.522071,-0.178216
-0.105047,0.463779,-0.20016
-0.0993769,0.443972,-0.209751
-0.0955069,0.550179,-0.180041
-0.103745,0.523912,-0.183362
-0.084515,0.416156,-0.206352
-0.0788317,0.41219,-0.206939
-0.00805264,0.392898,-0.232561
-0.00767426,0.391047,-0.210488
-0.00655026,0.383659,-0.190899
-0.0739093,0.584003,-0.178553
-0.0887223,0.567169,-0.178078
-0.0787424,0.389244,-0.126356
-0.0971232,0.416484,-0.161641
-0.0959768,0.405157,-0.127025
-0.0722157,0.403837,-0.213575
-0.053794,0.466051,-0.395356
-0.0594404,0.525125,-0.389032
-0.0742403,0.574219,-0.336589
-0.0697813,0.589618,-0.323949
-0.0704253,0.59845,-0.302955
-0.0735043,0.604784,-0.259119
-0.0749273,0.602253,-0.233791
-0.0779463,0.595712,-0.208945
-0.0759643,0.588537,-0.191716
-0.0911503,0.568928,-0.184554
-0.0959766,0.425199,-0.193658
-0.0929321,0.421273,-0.20791
-0.00369343,0.370367,-0.160063
-0.0886129,0.398046,-0.126631
-0.00008526,0.387433,-0.256636
-0.00008526,0.392193,-0.233924
-0.00008526,0.389529,-0.211193
-0.00008526,0.382759,-0.189861
-0.0727663,0.601436,-0.284637
-0.00010005,0.358458,-0.130405
-0.00006172,0.603216,-0.138243
-0.00006085,0.608385,-0.158155
-0.00008526,0.614761,-0.179239
-0.00008526,0.402028,-0.343662
-0.00008526,0.391601,-0.335673
-0.00008526,0.385226,-0.323335
-0.00008526,0.466707,-0.379353
-0.00008526,0.427583,-0.359976
-0.00008526,0.610232,-0.355027
-0.00008526,0.607854,-0.363821
-0.00008526,0.606236,-0.369879
-0.00008526,0.613367,-0.343499
-0.00008526,0.620133,-0.198872
-0.00008526,0.624419,-0.217064
-0.00008526,0.380685,-0.311764
-0.00008526,0.377755,-0.301072
-0.00008526,0.37997,-0.282639
-0.00008526,0.623624,-0.29266
-0.00008526,0.620199,-0.311492
-0.00008526,0.616689,-0.328987
-0.00008526,0.626575,-0.27296
-0.00008526,0.626913,-0.235423
-0.00008526,0.627621,-0.253943
-0.00019752,0.541096,-0.397288
-0.00022782,0.522005,-0.395994
-0.00021367,0.497364,-0.391615
-0.00015273,0.561281,-0.396051
-0.00010148,0.37008,-0.15974
-0.0959796,0.422084,-0.215588
-0.0958488,0.424406,-0.209466
-0.0882313,0.564763,-0.172675
-0.108885,0.483845,-0.194206
-0.107355,0.502806,-0.188812
-0.111716,0.542229,-0.245718
-0.11033,0.53766,-0.221494
-0.105904,0.563274,-0.208211
-0.102075,0.570891,-0.235234
-0.0890873,0.590813,-0.23202
-0.0928313,0.583537,-0.206393
-0.0842703,0.590679,-0.288621
-0.0869193,0.593963,-0.259729
-0.0946383,0.572038,-0.296604
-0.103468,0.545805,-0.308477
-0.109711,0.545149,-0.277734
-0.0991663,0.573847,-0.265933
-0.0798583,0.549947,-0.353111
-0.0936132,0.547306,-0.333496
-0.0863293,0.57214,-0.319561
-0.0809723,0.587829,-0.308216
-0.0940553,0.574378,-0.191347
-0.101938,0.556905,-0.191594
-0.107267,0.532998,-0.204255
-0.104614,0.528902,-0.196177
-0.0975812,0.552152,-0.185126
-0.11546,0.519595,-0.285763
-0.108927,0.521206,-0.316223
-0.111551,0.49819,-0.320037
-0.116584,0.496845,-0.291073
-0.101284,0.49853,-0.346273
-0.0981906,0.522824,-0.342324
-0.086527,0.524005,-0.359561
-0.089692,0.49763,-0.361871
-0.0640857,0.496461,-0.390933
-0.0728334,0.496985,-0.383826
-0.0704023,0.52532,-0.379632
-0.0612303,0.466906,-0.392874
-0.106884,0.466679,-0.212657
-0.111785,0.469263,-0.224312
-0.114144,0.493049,-0.240553
-0.113572,0.514413,-0.235197
-0.117009,0.517101,-0.255761
-0.117447,0.494969,-0.262197
-0.108628,0.507239,-0.207751
-0.111839,0.510773,-0.217694
-0.113595,0.49055,-0.22288
-0.110221,0.487326,-0.212186
-0.105276,0.465427,-0.207325
-0.103583,0.526435,-0.190259
-0.109278,0.486564,-0.206884
-0.107396,0.505425,-0.200844
-0.0863131,0.497389,-0.366147
-0.0840761,0.524251,-0.362862
0.00799467,0.602473,-0.378438
0.0133937,0.596855,-0.379364
0.0117005,0.582904,-0.390052
0.0146321,0.590307,-0.383195
0.00764074,0.57799,-0.394484
0.00246085,0.57545,-0.396369
0.00126127,0.605941,-0.378227
0.00394774,0.605503,-0.378059
0.005801,0.604352,-0.378213
0.0500147,0.577839,-0.361346
0.0620217,0.576118,-0.350518
0.0666947,0.551598,-0.36823
0.0545947,0.552121,-0.378869
0.0437317,0.620776,-0.245355
0.0452417,0.617687,-0.223452
0.0617417,0.606349,-0.215136
0.0596947,0.612278,-0.238516
0.00887374,0.627621,-0.253943
0.00918374,0.626913,-0.235423
0.0277227,0.624504,-0.230323
0.0267917,0.625877,-0.250322
0.0252407,0.625058,-0.270519
0.0230677,0.621934,-0.291361
0.00763274,0.623624,-0.29266
0.00835574,0.626575,-0.27296
0.0583897,0.613733,-0.261803
0.0578297,0.610383,-0.284682
0.0397997,0.61752,-0.288702
0.0419187,0.620785,-0.266978
0.0130797,0.605763,-0.36312
0.00744174,0.605479,-0.370402
0.0107087,0.606716,-0.36289
0.0161006,0.583253,-0.38223
0.0171517,0.590616,-0.376869
0.0220117,0.591106,-0.371772
0.0228397,0.585867,-0.375249
0.0265374,0.547726,-0.394387
0.0193222,0.546679,-0.397464
0.0160181,0.569722,-0.389063
0.024114,0.572271,-0.382472
0.0418377,0.602229,-0.336218
0.0583677,0.601089,-0.315205
0.0592457,0.592662,-0.332834
0.0457617,0.594614,-0.347114
0.0470235,0.494589,-0.399205
0.0396706,0.522545,-0.398689
0.0489206,0.524085,-0.395385
0.0551575,0.495525,-0.396059
0.00477874,0.540965,-0.398917
0.00162674,0.541056,-0.397402
0.00168498,0.562033,-0.39555
0.00762634,0.495981,-0.3956
0.00241633,0.497358,-0.391481
0.00189715,0.521979,-0.395732
0.0061229,0.52144,-0.398283
0.0499475,0.426527,-0.386662
0.0413448,0.424975,-0.384233
0.03515,0.46531,-0.394092
0.0447007,0.465435,-0.395777
0.00341874,0.426597,-0.359722
0.00300474,0.466715,-0.379217
0.00916326,0.465245,-0.384704
0.0104257,0.423867,-0.366924
0.00428234,0.380457,-0.281374
0.0140598,0.373184,-0.278162
0.00878519,0.385976,-0.25513
0.0121844,0.369488,-0.296144
0.00299374,0.376771,-0.299807
0.00313474,0.379407,-0.310486
0.0107602,0.371657,-0.307245
0.0122967,0.392291,-0.351944
0.0123077,0.380757,-0.341283
0.00487474,0.394998,-0.343996
0.0263549,0.599282,-0.136776
0.00874428,0.603214,-0.138245
0.060065,0.578457,-0.12716
0.0434622,0.591023,-0.132868
0.091415,0.541808,-0.125962
0.0760496,0.562063,-0.124734
0.114359,0.470238,-0.128416
0.112135,0.489492,-0.128648
0.105404,0.423879,-0.126985
0.112115,0.448314,-0.127558
0.0464844,0.367054,-0.128894
0.064144,0.375361,-0.127647
0.010906,0.358743,-0.130365
0.0282165,0.361413,-0.129822
0.0631375,0.397877,-0.192901
0.0613351,0.386192,-0.162112
0.0436951,0.37912,-0.161463
0.0428477,0.391552,-0.19178
0.0855012,0.417523,-0.193414
0.0940269,0.422022,-0.194076
0.0941012,0.412793,-0.161762
0.0853841,0.409643,-0.161248
0.106837,0.50114,-0.181186
0.105678,0.499809,-0.174431
0.106112,0.48089,-0.178656
0.107631,0.482044,-0.185685
0.0733387,0.578051,-0.164026
0.0744455,0.569225,-0.144969
0.0885033,0.550761,-0.147134
0.0869527,0.560985,-0.164862
0.0423687,0.603368,-0.17084
0.0427652,0.597009,-0.152129
0.0591991,0.584639,-0.146855
0.0586257,0.591776,-0.16608
0.00849674,0.61476,-0.179137
0.00859215,0.608383,-0.158137
0.0258966,0.604927,-0.156125
0.0256587,0.611031,-0.175357
0.0262107,0.616533,-0.193816
0.0275287,0.621392,-0.211351
0.00911974,0.624419,-0.217063
0.00868074,0.620132,-0.198803
0.0594537,0.597437,-0.182794
0.0616617,0.601519,-0.196462
0.0450427,0.613752,-0.20434
0.0431357,0.608968,-0.188325
0.0097748,0.373245,-0.318975
0.00331474,0.383589,-0.32205
0.00353474,0.389554,-0.334439
0.0105575,0.37652,-0.3312
0.0237223,0.521664,-0.401343
0.0312745,0.521729,-0.400677
0.038393,0.494264,-0.40047
0.0292669,0.494641,-0.399874
0.0160147,0.602398,-0.364832
0.0200437,0.596353,-0.368177
0.0155497,0.596574,-0.373219
0.0104807,0.602265,-0.371244
0.00707874,0.607169,-0.363845
0.00504974,0.605803,-0.370055
0.00162674,0.606236,-0.369879
0.00230274,0.607854,-0.363821
0.00532674,0.616689,-0.328987
0.00662174,0.620199,-0.311492
0.0200367,0.618235,-0.311633
0.0161487,0.614366,-0.330841
0.0261387,0.611412,-0.331519
0.0345407,0.614265,-0.310375
0.0501327,0.608289,-0.307721
0.0352977,0.60783,-0.331022
0.108041,0.50726,-0.128355
0.102079,0.523544,-0.127436
0.0169127,0.385338,-0.190323
0.0270927,0.387537,-0.190701
0.0273002,0.374144,-0.160907
0.0132158,0.371697,-0.160328
0.0213233,0.390454,-0.231805
0.0283005,0.395936,-0.210765
0.0196897,0.394319,-0.210669
0.019928,0.38685,-0.353972
0.0296991,0.384715,-0.357896
0.0178143,0.373699,-0.339167
0.0167377,0.464671,-0.388859
0.0258358,0.465005,-0.391703
0.0312397,0.423775,-0.379702
0.0197007,0.423641,-0.373604
0.0111674,0.521283,-0.400213
0.0170199,0.5215,-0.40117
0.0210961,0.494908,-0.39903
0.0138467,0.495159,-0.39814
0.00428925,0.565523,-0.394502
0.00940842,0.567453,-0.393102
0.0131418,0.545665,-0.398886
0.00798737,0.544725,-0.39876
0.0321237,0.574831,-0.376076
0.0400477,0.57741,-0.369866
0.0439286,0.551325,-0.386355
0.0347319,0.549258,-0.39069
0.0278357,0.591806,-0.366491
0.0364407,0.591226,-0.361925
0.0291357,0.588371,-0.369085
0.0217477,0.602531,-0.358685
0.0296317,0.60271,-0.350711
0.0348377,0.595753,-0.357104
0.0264737,0.596079,-0.362806
0.0144887,0.607725,-0.356147
0.0194557,0.609232,-0.346776
0.0245047,0.607203,-0.347269
0.0177537,0.606413,-0.356466
0.00314974,0.610232,-0.355027
0.00416874,0.613367,-0.343499
0.0126767,0.611288,-0.34552
0.00962174,0.608998,-0.355668
0.0441517,0.397626,-0.211679
0.0619442,0.39998,-0.212885
0.0757332,0.399033,-0.16155
0.0746536,0.407285,-0.194129
0.0811265,0.414143,-0.193979
0.102168,0.460176,-0.179283
0.106275,0.45606,-0.158435
0.100879,0.432492,-0.159889
0.0970363,0.439368,-0.18962
0.104553,0.498779,-0.169062
0.106744,0.496351,-0.156902
0.1082,0.477352,-0.158187
0.105029,0.480103,-0.173108
0.0957137,0.54167,-0.166748
0.0981832,0.53255,-0.150473
0.103472,0.514642,-0.15357
0.101375,0.518392,-0.167175
0.104521,0.462039,-0.19244
0.10332,0.46092,-0.185163
0.0985446,0.440496,-0.195472
0.0997321,0.442017,-0.202071
0.102684,0.520106,-0.172311
0.0958594,0.545194,-0.171962
0.103769,0.522067,-0.178213
0.0960319,0.548359,-0.176754
0.0991966,0.443967,-0.20975
0.10487,0.463773,-0.20016
0.103578,0.523907,-0.18336
0.0953446,0.550177,-0.180039
0.0786148,0.412202,-0.206923
0.0843289,0.41617,-0.206335
0.00786349,0.39291,-0.23256
0.00637974,0.383659,-0.190899
0.00750374,0.391047,-0.210488
0.0737387,0.584003,-0.178553
0.0885517,0.56717,-0.178077
0.0785496,0.389217,-0.126383
0.0957892,0.405124,-0.127057
0.0968992,0.416447,-0.161638
0.0720307,0.403836,-0.213576
0.0532379,0.46587,-0.395354
0.0591114,0.524967,-0.389039
0.0696107,0.589618,-0.323949
0.0740697,0.574219,-0.336589
0.0702547,0.59845,-0.302955
0.0747567,0.602254,-0.233791
0.0733337,0.604784,-0.259119
0.0757937,0.588538,-0.191715
0.0777757,0.595713,-0.208945
0.0909797,0.568929,-0.184553
0.0957754,0.425211,-0.193641
0.0927325,0.421269,-0.207908
0.00349057,0.370366,-0.160063
0.0884231,0.398015,-0.126661
0.0725957,0.601436,-0.284637
0.0956633,0.424405,-0.209463
0.0957814,0.422093,-0.215571
0.0880607,0.564763,-0.172675
0.108712,0.483839,-0.194205
0.107184,0.5028,-0.18881
0.101916,0.570887,-0.235234
0.105743,0.563284,-0.20822
0.110165,0.537654,-0.221493
0.111552,0.542232,-0.245724
0.0926607,0.583538,-0.206392
0.0889167,0.590813,-0.23202
0.0867487,0.593963,-0.259729
0.0840997,0.590679,-0.288621
0.0989957,0.573847,-0.265933
0.109547,0.545143,-0.277735
0.103304,0.5458,-0.308477
0.0944677,0.572038,-0.296604
0.0861587,0.57214,-0.319561
0.0934494,0.547303,-0.333496
0.0796877,0.549947,-0.353111
0.0808017,0.587829,-0.308216
0.0938847,0.574379,-0.191346
0.0974192,0.552149,-0.185124
0.104448,0.528897,-0.196175
0.107101,0.532993,-0.204253
0.101777,0.556901,-0.191593
0.116412,0.496838,-0.291071
0.111379,0.498179,-0.320035
0.108759,0.5212,-0.316223
0.115289,0.519595,-0.285763
0.0895195,0.497628,-0.361869
0.086359,0.524003,-0.35956
0.0980226,0.52282,-0.342324
0.101112,0.498526,-0.346272
0.0702317,0.525319,-0.37963
0.0725986,0.496936,-0.383825
0.0636882,0.496309,-0.390937
0.0607196,0.466723,-0.392871
0.111608,0.469268,-0.224306
0.106708,0.466687,-0.21265
0.117277,0.494975,-0.262195
0.116841,0.5171,-0.255762
0.113404,0.514407,-0.235197
0.113971,0.493052,-0.24055
0.110051,0.48734,-0.212182
0.113423,0.490556,-0.222877
0.11167,0.51078,-0.217693
0.108458,0.507234,-0.207749
0.105106,0.465441,-0.207317
0.103417,0.526431,-0.190257
0.107226,0.505436,-0.200843
0.109105,0.486572,-0.20688
0.0861405,0.497387,-0.366145
0.0839081,0.524237,-0.362864
-0.0960693,0.531171,-0.0651722
-0.0936317,0.526287,-0.0267128
-0.0764551,0.54879,-0.035321
-0.0783702,0.552747,-0.0705919
-0.0608855,0.569389,-0.077323
-0.0588365,0.567037,-0.0446245
-0.0407757,0.58087,-0.0539967
-0.0436383,0.581862,-0.0854431
-0.0262641,0.590868,-0.0915881
-0.023807,0.590369,-0.0612845
-0.00792967,0.595466,-0.0665486
-0.00876083,0.596315,-0.0957556
-0.00726793,0.598448,-0.0401057
-0.0218615,0.593014,-0.0349459
-0.0379064,0.584264,-0.0269214
-0.0554041,0.570559,-0.0159049
-0.065353,0.56216,-0.00810501
-0.0747042,0.548747,-0.00254161
-0.0906491,0.526077,0.00715829
-0.0282727,0.338671,0.0245356
-0.00944542,0.334345,0.0183308
-0.043133,0.344402,0.0298658
-0.0832774,0.377985,0.0347616
-0.0972392,0.394338,0.0304543
-0.106179,0.413266,0.0254113
-0.110096,0.434939,0.0204041
-0.110102,0.474798,0.014746
-0.111403,0.455445,0.0168562
-0.0105137,0.331236,-0.0208929
-0.0314223,0.33593,-0.0153446
-0.0310543,0.337907,-0.0584396
-0.0104079,0.334721,-0.0620505
-0.0509734,0.345587,-0.0553205
-0.0509058,0.345182,-0.0107698
-0.0689647,0.358511,-0.007397
-0.0701642,0.357601,-0.0527236
-0.0872433,0.372128,-0.0518593
-0.0855259,0.373246,-0.00683377
-0.100588,0.389383,-0.00887997
-0.102183,0.388918,-0.0528099
-0.112807,0.410015,-0.0546637
-0.110419,0.409489,-0.0111611
-0.115021,0.433649,-0.0136973
-0.119115,0.435951,-0.0569968
-0.118756,0.477042,-0.0594369
-0.121097,0.458196,-0.0583861
-0.116486,0.455188,-0.0160022
-0.114813,0.47415,-0.018044
-0.00908637,0.599155,-0.119585
-0.0271719,0.594121,-0.116713
-0.0445729,0.58552,-0.111949
-0.0613423,0.573374,-0.10534
-0.0782727,0.556823,-0.101038
-0.0953715,0.535892,-0.0989897
-0.120442,0.463367,-0.0954982
-0.117915,0.482386,-0.0963658
-0.118204,0.441193,-0.0943512
-0.111197,0.415544,-0.0931316
-0.0495783,0.35357,-0.0948137
-0.0686347,0.363857,-0.0930518
-0.0300584,0.347058,-0.0966623
-0.0100897,0.344392,-0.0985741
-0.0683096,0.363249,0.0351083
-0.0523361,0.350383,0.0325166
-0.101329,0.507137,0.0118326
-0.106744,0.491929,0.0131368
-0.111038,0.491596,-0.0197219
-0.10516,0.507245,-0.0213821
-0.108086,0.511699,-0.0617402
-0.114419,0.494873,-0.0605545
-0.113468,0.500377,-0.0972021
-0.107103,0.517171,-0.0977775
-0.100313,0.394148,-0.0926368
-0.0855506,0.377444,-0.0923427
-0.0682928,0.557282,-0.0396356
0.00002919,0.598657,-0.0400426
0.00001033,0.595463,-0.0665539
-0.00000884,0.596312,-0.0957614
-0.00010372,0.344297,-0.0985781
-0.00008294,0.334595,-0.0620514
-0.00005678,0.331086,-0.0208896
-0.00004638,0.599153,-0.119591
-0.00002946,0.33424,0.0183335
0.0783298,0.552691,-0.0706698
0.0764829,0.548733,-0.035423
0.0936543,0.526218,-0.0268377
0.0960176,0.531101,-0.0652676
0.0436237,0.58183,-0.0855013
0.0408023,0.58084,-0.0540511
0.0588654,0.566994,-0.044703
0.0608725,0.569344,-0.0774042
0.00874316,0.596309,-0.0957672
0.00795033,0.59546,-0.0665592
0.0238309,0.590351,-0.0613163
0.0262479,0.590848,-0.0916232
0.0219225,0.592998,-0.0349751
0.00732607,0.598443,-0.0401154
0.0554739,0.570518,-0.0159789
0.0379716,0.584236,-0.026972
0.065427,0.562111,-0.00819223
0.0907168,0.52601,0.00703733
0.0747757,0.548692,-0.00264131
0.00938657,0.334338,0.0183183
0.0282253,0.33865,0.0244979
0.0430969,0.34437,0.0298083
0.0972407,0.394266,0.0303246
0.0832726,0.377924,0.0346506
0.110114,0.434858,0.0202573
0.106187,0.413188,0.0252696
0.111431,0.455363,0.0167076
0.110142,0.474716,0.0145991
0.0102421,0.334713,-0.0620642
0.0308957,0.337885,-0.0584809
0.0313197,0.335907,-0.0153865
0.0104003,0.331229,-0.0209068
0.0700277,0.35755,-0.0528171
0.0688893,0.35846,-0.00748894
0.0508161,0.345144,-0.0108376
0.0508246,0.345549,-0.0553884
0.102041,0.388844,-0.0529113
0.100534,0.389309,-0.00901411
0.0854621,0.373182,-0.00694781
0.0870907,0.372065,-0.0519459
0.119003,0.435865,-0.057115
0.114993,0.433565,-0.0138507
0.110377,0.409408,-0.0113083
0.112679,0.409934,-0.0547757
0.114809,0.474065,-0.0181971
0.11647,0.455102,-0.0161576
0.121001,0.458108,-0.0585063
0.118672,0.476956,-0.0595549
0.0270721,0.594111,-0.116741
0.00899362,0.599152,-0.119597
0.061276,0.57333,-0.105391
0.0445151,0.585487,-0.111994
0.0952765,0.535824,-0.099052
0.0781912,0.556768,-0.101089
0.117783,0.482303,-0.0964427
0.120298,0.463281,-0.0955767
0.111021,0.415466,-0.0932041
0.118044,0.441109,-0.0944283
0.0684353,0.363807,-0.0931199
0.0493697,0.353534,-0.0948628
0.00988231,0.344385,-0.0985874
0.0298556,0.347036,-0.0967023
0.0523079,0.350344,0.0324468
0.0682944,0.363199,0.0350172
0.106794,0.49185,0.0129944
0.101389,0.507062,0.0116974
0.114347,0.49479,-0.0606681
0.108024,0.511621,-0.0618476
0.105176,0.507167,-0.0215224
0.111044,0.491514,-0.01987
0.106995,0.517095,-0.0978474
0.113348,0.500296,-0.0972761
0.100121,0.394077,-0.0927022
0.0853484,0.377383,-0.0923985
0.0683211,0.557232,-0.0397267
-0.0463824,0.622423,0.115407
-0.0524762,0.614811,0.127631
-0.0555197,0.608334,0.140831
-0.0553201,0.59925,0.158345
-0.0544789,0.590707,0.171101
-0.0527412,0.577807,0.187098
-0.0502398,0.566862,0.200269
-0.0471022,0.559373,0.208271
-0.0309031,0.526894,0.233793
-0.0233493,0.515231,0.239865
-0.0146775,0.510185,0.245055
-0.00487697,0.509891,0.248314
-0.0182313,0.642804,0.0743069
-0.013438,0.645653,0.071676
-0.0428237,0.551016,0.217718
-0.036712,0.539431,0.226101
-0.0409785,0.628731,0.105685
-0.0362879,0.632894,0.0983415
-0.0306138,0.636811,0.0902909
-0.0239559,0.640057,0.0808581
-0.0332064,0.629223,0.078591
